a'ngunc	ອະຫງຸ່ນ
Gi^mbe^on	ກິ^ເບ^ໂອນ
Gi^nde^o^ni	ກິ^ເດ^ໂອ^ນີ
Gi^nde^on	ກິ^ເດ^ໂອນ
Gi^ndom	ກິ^ໂດມ
Ki^ndon	ຄິ^ໂດນ
Gi^laa^lai	ກິ^ລາ^ໄລ
Ki^le^aapc	ຄິ^ເລ^ອາບ
Gi^le^aatc	ກິ^ເລ^ອາດ
Ki^li^ni^atc	ຄີ^ລິ^ນິ^ອັດ
Ki^li^on	ຄິ^ລິ^ໂອນ
Ki^li^yaa^taa^im	ຄິ^ລິ^ຢາ^ທາ^ອິມ
Ki^li^yaatv	ຄີ^ລິ^ຢາດ
Ki^li^yaatv Aalim	ຄີ^ລິ^ຢາດ^ອາ^ລິມ
Ki^li^yaatv Aan^mbaa	ຄີ^ລິ^ຢາດ^ອານ^ບາ
Ki^li^yaatv Mbaa^an	ຄີ^ລິ^ຢາດ^ບາ^ອັນ
Ki^li^yaatv^hu^sotv	ຄີ^ລິ^ຢາດ^ຫຸ^ໂຊດ
Ki^li^yaatv Sanx^naa	ຄີ^ລິ^ຢາດ^ສັນ^ນາ
Ki^li^yaatv Sefe	ຄີ^ລິ^ຢາດ^ເສ^ເຟ
Ki^li^yaatv Ye^aa^lim	ຄີ^ລິ^ຢາດ^ເຢ^ອາ^ລິມ
Gilon	ກິ^ໂລນ
Ki^si^on	ຄີ^ຊີ^ໂອນ
Kin Haa^le^setv	ຄີນ^ຫະ^ເລ^ເຊດ
Kitv	ຄີດ
Go^li^atc	ໂກ^ລິ^ອັດ
Ko^naa^ni^yaa	ໂຄ^ນາ^ນິ^ຢາ
Ko^ne^li^atc	ໂຄ^ເນ^ລິ^ອັດ
Ko^ni^yaa	ໂຄ^ນິ^ຢາ
Gokc	ໂກກ
Gopc	ໂກບ
Kotc	ໂຂດ
Gu^ni	ກຸ^ນີ
Kuqan Li^taa^im	ຄູ^ທຈັນ^ລິ^ທາ^ອິມ
Kumlaan	ຄູມ^ລານ
Kun	ຄູນ
Kutv	ຄູດ
Kutv^aa	ຄູດ^ອາ
Laa^aa^mi^yaa	ລາ^ອາ^ມິ^ຢາ
Laakitv	ລາ^ຄີ້ດ
Laamotv Gi^le^aatc	ລາ^ໂມດ^ກິ^ເລ^ອາດ
Lakv^kum	ລັກ^ຄູມ
Lapv^mbitc	ລັບ^ບີດ
Lapv^bi^ndotc	ລັບ^ປິ^ໂດດ
Lapv^saax^litv	ລັບ^ສາ^ລີດ
Le^haa^mbim	ເລ^ຫະ^ບິມ
Le^hum	ເລ^ຮູມ
Le^maa^li^yaa	ເລ^ມາ^ລິ^ຢາ
Le^wi^aa^taan	ເລ^ວີ^ອາ^ທານ
Le^yi^um	ເລ^ຢີ^ອູມ
Li^mbe^tin	ລີ^ເບ^ທີນ
Li^mbie	ລິ^ເບຍ
Li^ndie	ລິ^ເດຍ
Li^kaa^o^nie	ລີ^ຄາ^ໂອ^ເນຍ
Li^saa^daa	ລິ^ສະ^ຕາ
Likv^hi	ລິກ^ຮີ
Lo^lu^haa^maa	ໂລ^ລຸ^ຫະ^ມາ
Lotv	ໂລດ
Lu^hitv	ລູ^ຮີດ
Lu^si^atc	ລູ^ສິ^ອັດ
Lutv	ລູດ
Maa^aa^saix	ມະ^ອາ^ໄສ
Maa^aa^si^yaa	ມາ^ອາ^ຊິ^ຢາ
Maa^haa^laa^le^en	ມາ^ຫະ^ລາ^ເລ^ເອນ
Maa^haa^laa^len	ມາ^ຫະ^ລາ^ເລນ
Maa^haa^laapv	ມາ^ຫະ^ລາບ
Maa^haa^lai	ມາ^ຫະ^ໄລ
Maa^haa^latv	ມາ^ຫະ^ລັດ
Maa^haa^naa^im	ມາ^ຫະ^ນາ^ອິມ
Maa^haa^ne Ndaan	ມາ^ຫະ^ເນ^ດານ
Maa^haa^si^otc	ມາ^ຫະ^ຊິ^ໂອດ
Maa^haa^wai	ມາ^ຫະ^ໄວ
Maa^naa^sanx	ມະ^ນາ^ສັນ
Maa^natv^se	ມະ^ນັດ^ເສ
Makv^mbitc	ມັກ^ບີດ
Man^ki^yaa	ມັນ^ຄິ^ຢາ
Manlukv	ມັນ^ລຸກ
Matv^taa^ni^yaa	ມັດ^ທາ^ນີ^ຢາ
Matv^daa^taa	ມັດ^ຕະ^ທາ
Matv^ti^ti^yaa	ມັດ^ທີ^ທິ^ຢາ
Me^ndi^de^le^nien	ເມ^ດີ^ເຕ^ເລ^ນຽນ
Me^hi	ເມ^ຫ
�e^hi^ndaa	ິme-hi-Daa > ເມ^ຫິ^ດາ
Me^hu^maan	ເມ^ຫຸ^ມານ
Me^li^mbatc^kaa^ndetc	ເມ^ລິ^ບັດ^ດາ^ເດດ
Me^li^taa	ເມ^ລິ^ທາ
Me^se^le^mi^yaa	ເມ^ເຊ^ເລ^ມິ^ຢາ
Me^si^yaa	ເມ^ສິ^ຢາ
Migon	ມິ^ໂກນ
Milaa	ມິ^ລາ
Mi^laa^lai	ມິ^ລາ^ໄລ
Mi^le^tatv	ມິ^ເລ^ທັດ
Miliem	ມິ^ລຽມ
Misaa	ມິ^ຊາ
Mi^saa^en	ມິ^ຊາ^ເອນ
Misaan	ມິ^ຊານ
Misie	ມິ^ເຊຍ
Mi^ti^le^ni	ມິ^ທິ^ເລ^ນີ
Mi^yaa^min	ມິ^ຢາ^ມິນ
Mikv^ndan Gaatc	ມິກ^ຕັນ^ກາດ
Mikv^ndan En	ມິກ^ດັນ^ເອນ
Mikv^ndon	ມິກ^ໂດນ
Mikv^li	ມິກ^ລີ
Mikv^lotv	ມິກ^ໂລດ
Mikv^maatv	ມິກ^ມາດ
Mikv^me^tatv	ມິກ^ເມ^ທັດ
Mikv^ne^yaa	ມິກ^ເນ^ຢາ
Mitv^ndin	ມິດ^ດີນ
Mo^li^yaa	ໂມ^ລິ^ຢາ
mukv	ມຸກ
Naa^haa^laan	ນາ^ຫະ^ລານ
Naa^haa^lai	ນາ^ຫະ^ໄລ
Naa^haa^li^en	ນາ^ຫະ^ລີ^ເອນ
Naa^haa^lon	ນາ^ຫະ^ໂລນ
